Molecule,Ref. Freq,Natty Freq,Ref - Nat,Redundant Freq,Ref - Redundant,Nat - Redundant
25_CHF3,514.801517817821,514.8033129541452,-0.001795136324176383,514.8033878538804,-0.0018700360593584264,-7.489973518204351e-05
,514.8015792479647,514.803344958699,-0.0017657107342756717,514.8034183063393,-0.001839058374571323,-7.334764029565122e-05
,710.2290359719458,710.2333074425844,-0.004271470638627761,710.2352338629254,-0.006197890979592557,-0.0019264203409647962
,1161.9031672032675,1161.945132145985,-0.04196494271764095,1161.9352681415203,-0.03210093825282456,0.00986400446481639
,1203.1664841912932,1204.1045807384096,-0.9380965471164018,1204.1081364933473,-0.9416523020540808,-0.003555754937679012
,1203.1670059095964,1204.104877324477,-0.9378714148806466,1204.1083617196891,-0.941355810092773,-0.003484395212126401
,1424.3210599694141,1423.3778460255062,0.9432139439079492,1423.376568733723,0.9444912356912027,0.0012772917832535313
,1424.3217195521681,1423.3781846923248,0.9435348598433393,1423.3769349317881,0.9447846203800054,0.0012497605366661446
,3160.865576200504,3160.8595268564754,0.00604934402872459,3160.859700288225,0.005875912278952455,-0.00017343174977213494
,,,,,,
,,,,,,
,,,,,,
