Molecule,Natty (CCSD_T_DZ),Ref - Nat (CCSD_T_DZ),Ref (CCSD_T_TZ),Red (CCSD_T_DZ),Ref - Red (CCSD_T_DZ),Nat - Red CCSD_T_DZ,"Natty (B3LYP_6-31G_2df,p_)","Ref - Nat (B3LYP_6-31G_2df,p_)","Red (B3LYP_6-31G_2df,p_)","Ref - Red (B3LYP_6-31G_2df,p_)","Nat - Red B3LYP_6-31G_2df,p_"
Cyclopropane (1.1) mode 1,740.89,-0.04,740.85,740.88,-0.03,0.01,740.87,-0.02,740.99,-0.14,-0.12
Cyclopropane (1.1) mode 2,740.89,-0.04,740.85,740.88,-0.03,0.01,740.87,-0.02,741.04,-0.19,-0.17
Cyclopropane (1.1) mode 3,857.73,-0.04,857.68,857.73,-0.04,-0.00,857.68,0.01,857.68,0.00,-0.01
Cyclopropane (1.1) mode 4,893.53,-1.56,891.95,893.62,-1.66,-0.09,892.06,-0.10,892.05,-0.10,0.01
Cyclopropane (1.1) mode 5,893.53,-1.57,891.97,893.62,-1.66,-0.10,892.07,-0.11,892.11,-0.14,-0.04
Cyclopropane (1.1) mode 6,1059.31,1.21,1060.52,1059.25,1.28,0.07,1060.52,0.00,1060.42,0.10,0.10
Cyclopropane (1.1) mode 7,1059.32,1.21,1060.52,1059.25,1.27,0.06,1060.53,-0.00,1060.52,0.01,0.01
Cyclopropane (1.1) mode 8,1088.57,-0.00,1088.57,1088.57,-0.00,-0.00,1088.57,-0.00,1088.74,-0.17,-0.17
Cyclopropane (1.1) mode 9,1160.87,0.00,1160.87,1160.87,0.00,-0.00,1160.85,0.03,1160.69,0.18,0.15
Cyclopropane (1.1) mode 10,1215.76,-1.37,1214.39,1215.72,-1.34,0.03,1214.53,-0.14,1214.65,-0.26,-0.12
Cyclopropane (1.1) mode 11,1217.34,0.01,1217.35,1217.34,0.00,-0.01,1217.34,0.01,1217.25,0.10,0.09
Cyclopropane (1.1) mode 12,1217.34,0.01,1217.35,1217.35,0.00,-0.01,1217.36,-0.01,1217.27,0.08,0.09
Cyclopropane (1.1) mode 13,1478.26,0.06,1478.32,1478.25,0.07,0.01,1478.28,0.04,1478.30,0.01,-0.03
Cyclopropane (1.1) mode 14,1478.26,0.06,1478.32,1478.25,0.07,0.01,1478.28,0.04,1478.31,0.01,-0.03
Cyclopropane (1.1) mode 15,1527.57,1.05,1528.61,1527.59,1.02,-0.03,1528.61,0.00,1528.53,0.08,0.08
Cyclopropane (1.1) mode 16,3146.28,0.01,3146.29,3146.21,0.09,0.07,3146.25,0.04,3146.29,-0.00,-0.04
Cyclopropane (1.1) mode 17,3146.29,0.01,3146.29,3146.28,0.01,0.00,3146.30,-0.00,3146.32,-0.02,-0.02
Cyclopropane (1.1) mode 18,3156.88,0.07,3156.95,3157.01,-0.07,-0.13,3156.84,0.11,3156.84,0.10,-0.00
Cyclopropane (1.1) mode 19,3228.69,0.04,3228.72,3228.61,0.11,0.08,3228.63,0.10,3228.68,0.04,-0.05
Cyclopropane (1.1) mode 20,3228.81,-0.08,3228.74,3228.72,0.01,0.08,3228.91,-0.19,3228.75,-0.01,0.17
Cyclopropane (1.1) mode 21,3248.61,0.01,3248.62,3248.73,-0.11,-0.12,3248.62,-0.00,3248.66,-0.04,-0.04
CH4 (1.2) mode 1,1344.11,-0.12,1343.99,1344.11,-0.11,0.00,1343.99,-0.00,1343.99,-0.00,-0.00
